标题,地址,户型,关注,总价,均价,房源标签,房源链接
大芬地铁站和谐家园方正户型新小区朝南方正2房,和谐家园  | 2室1厅 | 67.87平米 | 东南 | 精装,低楼层(共34层)2010年建塔楼  -  布吉大芬,8人关注 / 共0次带看 / 13天以前发布,335万,单价49360元/平米,距离3号线(龙岗线)大芬站970米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101159909.html
梅林一村  园中园   靠山环水  大社区  优雅宁静,梅林一村十三区  | 3室1厅 | 97.03平米 | 东北 | 精装,中楼层(共18层)2003年建板塔结合  -  梅林,3人关注 / 共0次带看 / 8天以前发布,608万,单价62662元/平米,距离9号线下梅林站625米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101166810.html
7号线  桃源村站 红本三房 满五年 看山景 视野开阔,桃源村三期  | 3室2厅 | 89.19平米 | 北 | 简装,中楼层(共34层)2008年建板楼  -  西丽,118人关注 / 共71次带看 / 2个月以前发布,482万,单价54042元/平米,距离7号线桃源村站384米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101065932.html
依山傍水公园里 一站地罗湖 满二 看梧桐山水库,万科公园里二期  | 3室2厅 | 88.57平米 | 南 | 精装,高楼层(共32层)2014年建板塔结合  -  布吉南岭,187人关注 / 共93次带看 / 2个月以前发布,418万,单价47195元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101069885.html
宝体旁精致3房 视野开阔 通风采光好 两房价格买三房,里仁府  | 3室2厅 | 86.54平米 | 东北 | 精装,中楼层(共25层)2004年建板塔结合  -  翻身,188人关注 / 共101次带看 / 2个月以前发布,435万,单价50266元/平米,距离1号线(罗宝线）宝体站892米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101036595.html
中海阳光玫瑰园 2室1厅 435万,中海阳光玫瑰园  | 2室1厅 | 52.43平米 | 东南 | 精装,高楼层(共17层)2009年建塔楼  -  前海,12人关注 / 共5次带看 / 6天以前发布,435万,单价82968元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101169249.html
客厅出阳台 高楼层 无遮挡视野棒 安静不吵,现代城华庭  | 2室2厅 | 69.68平米 | 西北 | 简装,高楼层(共33层)2004年建板塔结合  -  南山中心,41人关注 / 共18次带看 / 2个月以前发布,436万,单价62572元/平米,距离11号线南山站1064米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101038860.html
鸿基花园 2室2厅 258万,鸿基花园  | 2室2厅 | 78.44平米 | 西南 | 精装,中楼层(共10层)2002年建板塔结合  -  中心城南,61人关注 / 共37次带看 / 一年前发布,258万,单价32892元/平米,距离3号线(龙岗线)吉祥站415米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100559658.html
百合星城 精品精装两房 地段繁华 近地铁 价格美丽税少,百合星城一期  | 2室2厅 | 62.04平米 | 东北 | 其他 | 有电梯,高楼层(共30层)2003年建塔楼  -  布吉关,18人关注 / 共13次带看 / 12天以前发布,249万,单价40136元/平米,距离3号线(龙岗线)布吉站593米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101161259.html
振业城一期电梯小洋房，南北对流，无缝接驳六约站,振业城  | 2室2厅 | 85.52平米 | 南 北 | 精装,高楼层(共6层)2005年建板塔结合  -  横岗,276人关注 / 共30次带看 / 3个月以前发布,298万,单价34846元/平米,距离3号线(龙岗线)六约站280米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101016969.html
满二红本 税低翠竹 看房方便 诚心出售,合正荣悦  | 2室1厅 | 50.24平米 | 南 | 简装,高楼层(共32层)2013年建板塔结合  -  黄贝岭,5人关注 / 共13次带看 / 8天以前发布,420万,单价83599元/平米,距离3号线(龙岗线)翠竹站841米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101165832.html
粤海花园两房 满五年唯一 红本税费低 已续70年产权,粤海花园  | 2室1厅 | 66.55平米 | 东北 | 精装,高楼层(共31层)1993年建板塔结合  -  春风路,60人关注 / 共17次带看 / 1个月以前发布,269.8万,单价40541元/平米,距离1号线(罗宝线）国贸站400米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101127871.html
中爱花园 安静标准两房 满五年 业主自己住的保养好,中爱花园  | 2室1厅 | 57.22平米 | 西北 | 精装 | 有电梯,低楼层(共15层)2004年建板塔结合  -  西丽,27人关注 / 共24次带看 / 23天以前发布,365万,单价63789元/平米,距离7号线桃源村站357米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101145670.html
此房满五年家庭一套 税费少 看花园安静 采光通透,丽湖花园二期  | 2室1厅 | 55.05平米 | 东南 | 其他 | 无电梯,高楼层(共8层)1999年建板塔结合  -  布吉水径,73人关注 / 共1次带看 / 24天以前发布,180万,单价32698元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101144075.html
【新上房源】 单价六万三   精装修格局好居住舒适度高,盛荟居  | 3室2厅 | 86.96平米 | 南 北 | 其他,中楼层(共29层)2016年建  -  上塘,5人关注 / 共4次带看 / 23天以前发布,548万,单价63018元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101144713.html
户型方正2居室 采光通风 好看花园 安静舒适 带大平台,丽港湾  | 2室1厅 | 67.62平米 | 北 | 精装 | 有电梯,低楼层(共30层)2003年建塔楼  -  福田保税区,20人关注 / 共31次带看 / 2个月以前发布,398万,单价58859元/平米,距离4号线(龙华线)福田口岸站1067米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101041183.html
海山居公务员社区南北通大四房满五年红本在手,海山居  | 4室2厅 | 134.28平米 | 南 | 其他,高楼层(共12层)2000年建板塔结合  -  沙头角,13人关注 / 共4次带看 / 12天以前发布,690万,单价51386元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101162000.html
看湖看游泳池高楼层方正3房税费少好房业主着急出售。,碧湖花园  | 4室2厅 | 91.44平米 | 西北 | 其他,高楼层(共33层)1995年建塔楼  -  洪湖,7人关注 / 共1次带看 / 8天以前发布,400万,单价43745元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101166760.html
布吉摩卡小镇，自住出售房，温馨装修，实用面积大,佳兆业可园三期  | 3室1厅 | 97.89平米 | 北 | 精装,中楼层(共18层)2006年建板楼  -  布吉南岭,8人关注 / 共1次带看 / 11天以前发布,520万,单价53121元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101162437.html
美丽家园，刚需大两房，满五唯一，旁边 ICO和大润发！,美丽家园  | 2室2厅 | 70.48平米 | 东南 | 简装,高楼层(共7层)2001年建板塔结合  -  龙华中心,55人关注 / 共18次带看 / 3个月以前发布,295万,单价41856元/平米,距离4号线(龙华线)清湖站1091米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101001857.html
龙岗区 平安里精装4房 朝南向 业主诚心出售 看房方便,君悦龙庭  | 4室2厅 | 110.68平米 | 东南 | 精装,低楼层(共28层)2010年建板塔结合  -  大运新城,5人关注 / 共5次带看 / 13天以前发布,540万,单价48790元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101160158.html
高层北向，无暗角，户型方正，税费少，业主诚心卖,益田村  | 3室2厅 | 88.03平米 | 北 | 简装 | 有电梯,高楼层(共32层)2002年建板塔结合  -  石厦,18人关注 / 共44次带看 / 24天以前发布,525万,单价59639元/平米,距离3号线(龙岗线)益田站470米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101143614.html
居家2房可改三房  东南向  高楼层 您值得拥有！,桂芳园五期  | 3室1厅 | 67.8平米 | 东南 | 其他,中楼层(共15层)2003年建板塔结合  -  布吉大芬,13人关注 / 共37次带看 / 1个月以前发布,325万,单价47936元/平米,距离3号线(龙岗线)大芬站974米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101093975.html
布吉品质大盘 可园小区花园 安静 婚房出售,佳兆业可园六期  | 2室1厅 | 71.54平米 | 北 | 其他,低楼层(共26层)2009年建板楼  -  布吉南岭,118人关注 / 共154次带看 / 11个月以前发布,326万,单价45569元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100586695.html
布吉南景豪庭 电梯三房 厅出双阳台户型好 通风好,南景豪庭  | 3室1厅 | 83.75平米 | 东南 | 精装,低楼层(共21层)2002年建塔楼  -  布吉大芬,109人关注 / 共34次带看 / 2个月以前发布,310万,单价37015元/平米,距离3号线(龙岗线)大芬站856米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101036859.html
龙岗君悦龙庭 三房两卫 朝南看花园 赠送45平,君悦龙庭  | 3室1厅 | 110.76平米 | 南 | 简装,低楼层(共28层)2010年建板塔结合  -  大运新城,13人关注 / 共44次带看 / 2个月以前发布,525万,单价47400元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101073084.html
荔山公馆精装2房，高层，采光好无遮挡！,信义荔山公馆  | 2室1厅 | 66.68平米 | 西 | 其他,高楼层(共25层)2011年建塔楼  -  布吉站,37人关注 / 共59次带看 / 9个月以前发布,360万,单价53990元/平米,距离5号线(环中线)百鸽笼站1036米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100663007.html
百仕达8号楼优质笋盘，业主诚心急卖，房子单价便宜,百仕达花园一期  | 3室2厅 | 123.9平米 | 南 | 其他,中楼层(共32层)2003年建板塔结合  -  百仕达,8人关注 / 共41次带看 / 1个月以前发布,765万,单价61744元/平米,距离5号线(环中线)太安站57米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101106994.html
蓝宝石家园 低总价电梯两房 使用率92%,蓝宝石家园  | 2室1厅 | 68.52平米 | 北 | 精装,中楼层(共9层)2003年建塔楼  -  梅林,18人关注 / 共5次带看 / 28天以前发布,376万,单价54875元/平米,距离4号线(龙华线)莲花北站550米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101137094.html
桃源村高层 朝南三房 安静不临街 看花园 采光好,桃源村二期  | 3室2厅 | 93.22平米 | 南 | 简装,中楼层(共20层)2000年建塔楼  -  西丽,19人关注 / 共15次带看 / 2个月以前发布,482万,单价51706元/平米,距离7号线桃源村站538米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101050973.html
常在深圳飘，此房来撑腰。满五又唯一，税费少又少！,城市主场  | 1室1厅 | 45平米 | 东南 | 精装,中楼层(共33层)2005年建板塔结合  -  八卦岭,8人关注 / 共5次带看 / 12天以前发布,280万,单价62223元/平米,距离7号线八卦岭站546米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101161224.html
卡罗社区经典一房 满五唯一税费少 近壹方城安静看花园,卡罗社区  | 1室1厅 | 45.57平米 | 西南 | 简装 | 有电梯,高楼层(共16层)2007年建板塔结合  -  翻身,34人关注 / 共31次带看 / 22天以前发布,280万,单价61444元/平米,距离5号线(环中线)翻身站696米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101146075.html
龙岗大运笋盘 精装四房双卫 中高楼层看花园 户型方正,天健现代城  | 4室2厅 | 126.81平米 | 北 | 简装,中楼层(共18层)2007年建板塔结合  -  大运新城,36人关注 / 共7次带看 / 25天以前发布,495万,单价39035元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101141902.html
南国丽园 2室2厅 375万,南国丽园  | 2室2厅 | 75.77平米 | 东南 | 简装 | 有电梯,中楼层(共17层)2007年建板塔结合  -  龙华中心,17人关注 / 共12次带看 / 7天以前发布,375万,单价49492元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101167547.html
碧水龙庭精装三房 位置安静中高楼层 业主诚心出售,碧水龙庭  | 3室2厅 | 90.15平米 | 南 | 精装,中楼层(共19层)2007年建板塔结合  -  民治,63人关注 / 共28次带看 / 1个月以前发布,475万,单价52690元/平米,距离5号线(环中线)民治站953米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101129881.html
东南向 此房满五唯一费用少、装修好 通风采光好,都市花园  | 3室2厅 | 76.3平米 | 东南 | 精装,高楼层(共35层)2000年建板塔结合  -  车公庙,65人关注 / 共23次带看 / 15天以前发布,470万,单价61599元/平米,距离1号线(罗宝线）购物公园站1028米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101157047.html
免个税，红本，阳台已拓展，三房改四房，业主诚售,金地梅陇镇一期  | 4室2厅 | 109.63平米 | 南 | 简装 | 有电梯,高楼层(共24层)2006年建板楼  -  深圳北站,33人关注 / 共22次带看 / 1个月以前发布,560万,单价51081元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101131547.html
【急售】中海锦城满两年笋盘带装修可直接入住看房方便,中海锦城  | 3室1厅 | 89.4平米 | 东南 | 精装,中楼层(共39层)2015年建板楼  -  上塘,22人关注 / 共13次带看 / 26天以前发布,587万,单价65660元/平米,距离4号线(龙华线)上塘站473米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101141491.html
满两年、户型实用、装修好、地铁口,佳华名苑  | 2室2厅 | 61.84平米 | 东北 | 精装,中楼层(共18层)2012年建板塔结合  -  宝安中心,29人关注 / 共11次带看 / 22天以前发布,395万,单价63875元/平米,距离1号线(罗宝线）宝体站531米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101147207.html
【急售】中海锦城满两年笋盘带装修可直接入住看房方便,中海锦城  | 3室1厅 | 89.4平米 | 东南 | 精装,中楼层(共39层)2015年建板楼  -  上塘,22人关注 / 共13次带看 / 26天以前发布,587万,单价65660元/平米,距离4号线(龙华线)上塘站473米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101141491.html
星海名城一期精装3居室  带30平露台，使用面积达100平,星海名城一期三组团  | 3室2厅 | 64.4平米 | 南 | 其他,低楼层(共9层)2000年建板塔结合  -  前海,38人关注 / 共19次带看 / 17天以前发布,530万,单价82299元/平米,距离1号线(罗宝线）大新站523米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101154537.html
中信红树湾，正高尔夫+海景景观，奢华装修，弧形阳台,中信红树湾南区  | 5室2厅 | 255.26平米 | 西南 | 精装 | 有电梯,中楼层(共31层)2006年建板楼  -  红树湾,35人关注 / 共55次带看 / 1个月以前发布,3200万,单价125363元/平米,距离2号线(蛇口线)红树湾站318米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101095137.html
苹果园一房改两房，满两年精装自住，看房方便,苹果园  | 2室1厅 | 42.94平米 | 北 | 其他,低楼层(共17层)2004年建板塔结合  -  龙华中心,35人关注 / 共1次带看 / 6天以前发布,185万,单价43084元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101170039.html
